Book Title,Book Rating,Number of reviews
Devious Lies: A Standalone Enemies-to-Lovers Romance,4.3,16375
The Ever King: A Dark Fantasy Romance (The Ever Seas Book 1),4.7,258
The Ashes and the Star-Cursed King (Crowns of Nyaxia Book 2),4.5,27355
Just Don&#39;t Fall: A Fake Dating Hockey RomCom (Sweater Weather Book 1),4.5,1596
Never Marry Your Brother&#39;s Best Friend (Never Say Never Book 1),4.2,12830
The Summer I Saved You (The Summer Series Book 2),4.3,1076
The Wife Upstairs: A twisted psychological thriller that will keep you guessing,4.5,30889
Homerun Proposal: A Brother&#39;s Best Friend Baseball Romance (Orleans University Book 1),4.3,1476
Not My Kind of Hero,4.5,5028
The Summer I Turned Pretty,4.4,42853
Weyward: A Novel,4.5,5633
Reckless Heart: A Best Friend&#39;s Brother Small Town Romance (Starlight Cove Book 4),4.5,732
Bad Summer People: A Novel,3.9,6534
Consider Me (Playing For Keeps Book 1),4.4,26820
"Joey: A brother&#39;s best friend, standalone dark mafia romance (Chicago Ruthless Book 2)",4.5,5514
NERO: Alliance Series Book One,4.3,6723
Just Stay Away,4.1,2924
On the Line: A Riveting Novel of Suspense,4.3,3786
Court of Ravens and Ruin: A Brides of Mist and Fae Novel (The Shadow Bound Queen Book 1),4.3,8234
The Stars Don&#39;t Lie: A Novel,4.4,2725
Call the Canaries Home: A Novel,4.2,24222
Cognac Villain (Pushkin Bratva Book 1),4.4,4824
"Silver Fox&#39;s Secret Baby: An Age Gap, Best Friend’s Dad Romance (Heart of Hope)",4.5,27
The Witch&#39;s Lens: A Novel (The Order of the Seven Stars Book 1),4.2,1048
Twisted Games: A Forbidden Royal Bodyguard Romance,4.4,46355
Pucking Around: A Why Choose Hockey Romance (Jacksonville Rays Book 1),4.4,28944
Tempting the Player (Campus Wallflowers),4.5,320
The Bookstore Sisters: A Short Story,4.3,39245
Say You Swear,4.7,33963
"A Little Twist: A small-town, single dad-nanny, fake engagement romance.",4.5,482
"Mine To Have: A Small Town, Second Chance Romance. (Southern Wedding Series) (Southern Weddings Book 1)",4.4,3658
Faking the Fall: A Fake Dating Celebrity RomCom,4.6,92
The Sacrifice: A Dark Revenge Romance,4.5,13760
Say You Swear,4.7,33963
"A Little Twist: A small-town, single dad-nanny, fake engagement romance.",4.5,482
"Mine To Have: A Small Town, Second Chance Romance. (Southern Wedding Series) (Southern Weddings Book 1)",4.4,3658
Faking the Fall: A Fake Dating Celebrity RomCom,4.6,92
The Sacrifice: A Dark Revenge Romance,4.5,13760
Say You Swear,4.7,33963
"A Little Twist: A small-town, single dad-nanny, fake engagement romance.",4.5,482
"Mine To Have: A Small Town, Second Chance Romance. (Southern Wedding Series) (Southern Weddings Book 1)",4.4,3658
Faking the Fall: A Fake Dating Celebrity RomCom,4.6,92
The Sacrifice: A Dark Revenge Romance,4.5,13760
